scenario_id,length,has_crash,noise_sigma,baseline_low,drift_min,drift_max,crash_start,ground_truth_crashed,threshold_alert_time,aump_alert_time@0.5,lead_time@0.5,false_alarm@0.5,aump_alert_time@0.6,lead_time@0.6,false_alarm@0.6,aump_alert_time@0.7,lead_time@0.7,false_alarm@0.7,aump_alert_time@0.8,lead_time@0.8,false_alarm@0.8,aump_alert_time@0.9,lead_time@0.9,false_alarm@0.9
120,30,False,2.5,65,0.7477254165514646,1.6694299664756787,-1,False,,,,False,,,False,,,False,,,False,,,False
121,30,False,1.5,65,0.47962155274759377,2.4157582279938623,-1,True,26.0,17.0,9.0,False,17.0,9.0,False,17.0,9.0,False,,,False,,,False
122,30,True,1.5,75,0.7914317026172487,2.8848623875121784,18,False,,26.0,,True,27.0,,True,,,False,,,False,,,False
123,30,False,1.5,70,0.6969503642489336,2.4430088967344976,-1,False,,,,False,,,False,,,False,,,False,,,False
124,30,False,1.5,75,0.5188426889352916,2.70845574153268,-1,False,,,,False,,,False,,,False,,,False,,,False
125,30,True,1.0,65,0.7748536998542908,2.717850523431267,19,True,27.0,24.0,3.0,False,25.0,2.0,False,25.0,2.0,False,26.0,1.0,False,,,False
126,30,False,2.5,70,0.6154069027952283,2.8926173058258624,-1,False,,11.0,,True,11.0,,True,,,False,,,False,,,False
127,30,False,2.5,65,0.5222628519251563,1.7927784384846395,-1,False,,5.0,,True,,,False,,,False,,,False,,,False
128,30,True,1.5,75,0.6915086864478159,2.9726541533447897,15,True,29.0,25.0,4.0,False,25.0,4.0,False,29.0,0.0,False,29.0,0.0,False,,,False
129,30,False,1.5,75,0.5133429511383005,2.224829184965691,-1,False,,,,False,,,False,,,False,,,False,,,False
130,30,False,1.5,75,0.35278446735752433,2.8803738527579092,-1,False,,,,False,,,False,,,False,,,False,,,False
131,30,True,1.5,65,0.49833636240671,2.009218851216327,19,False,,,,False,,,False,,,False,,,False,,,False
132,30,True,2.0,75,0.48412807987913237,2.495624009220224,11,True,22.0,19.0,3.0,False,19.0,3.0,False,21.0,1.0,False,21.0,1.0,False,26.0,-4.0,False
133,30,False,1.0,65,0.6131802676588016,1.7803154392807952,-1,False,,,,False,,,False,,,False,,,False,,,False
134,30,True,1.5,70,0.6928394941270484,2.5137322361038463,20,True,28.0,26.0,2.0,False,27.0,1.0,False,28.0,0.0,False,28.0,0.0,False,,,False
135,30,True,2.5,65,0.48964645725278894,1.5506417240907775,11,True,6.0,3.0,3.0,False,3.0,3.0,False,3.0,3.0,False,3.0,3.0,False,7.0,-1.0,False
136,30,False,2.5,70,0.726140000252898,1.8280048162613747,-1,False,,,,False,,,False,,,False,,,False,,,False
137,30,True,2.0,65,0.40748351514092224,1.8513530492164791,15,False,,,,False,,,False,,,False,,,False,,,False
138,30,True,1.0,75,0.7671032657139802,2.6425565802079563,21,False,,28.0,,True,28.0,,True,29.0,,True,,,False,,,False
139,30,True,2.5,75,0.5301700395052699,2.438181840784479,21,True,24.0,22.0,2.0,False,23.0,1.0,False,23.0,1.0,False,24.0,0.0,False,25.0,-1.0,False
